2016 rank,City,State[5],2016 estimate,2010 Census,Change,2014 land area,2010 population density,Location
184,McAllen,Texas,"142,212","129,877",+9.50%,"48.3 sq mi
125.2 km2","2,687 per sq mi
1,037 km−2",26.2185°N 98.2461°W
185,Pasadena,California,"142,059","137,122",+3.60%,"23.0 sq mi
59.5 km2","5,970 per sq mi
2,305 km−2",34.1606°N 118.1396°W
186,Bellevue,Washington,"141,400","122,363",+15.56%,"32.0 sq mi
82.8 km2","3,828 per sq mi
1,478 km−2",47.5978°N 122.1565°W
187,Fullerton,California,"140,721","135,161",+4.11%,"22.4 sq mi
57.9 km2","6,047 per sq mi
2,335 km−2",33.8857°N 117.9280°W
188,Orange,California,"140,504","136,416",+3.00%,"24.8 sq mi
64.2 km2","5,501 per sq mi
2,124 km−2",33.8048°N 117.8249°W
189,Dayton,Ohio,"140,489","141,527",−0.73%,"55.7 sq mi
144.1 km2","2,543 per sq mi
982 km−2",39.7774°N 84.1996°W
190,Miramar,Florida,"138,449","122,041",+13.44%,"29.5 sq mi
76.5 km2","4,134 per sq mi
1,596 km−2",25.9770°N 80.3358°W
191,Thornton,Colorado,"136,703","118,772",+15.10%,"34.8 sq mi
90.2 km2","3,409 per sq mi
1,316 km−2",39.9180°N 104.9454°W
192,West Valley City,Utah,"136,574","129,480",+5.48%,"35.6 sq mi
92.1 km2","3,642 per sq mi
1,406 km−2",40.6885°N 112.0118°W
193,Olathe,Kansas,"135,473","125,872",+7.63%,"59.7 sq mi
154.5 km2","2,110 per sq mi
815 km−2",38.8843°N 94.8188°W
194,Hampton[16],Virginia,"135,410","137,436",−1.47%,"51.4 sq mi
133.2 km2","2,673 per sq mi
1,032 km−2",37.0480°N 76.2971°W
195,Warren,Michigan,"135,125","134,056",+0.80%,"34.4 sq mi
89.0 km2","3,899 per sq mi
1,505 km−2",42.4929°N 83.0250°W
196,Midland,Texas,"134,610","111,147",+21.11%,"72.1 sq mi
186.7 km2","1,542 per sq mi
595 km−2",32.0299°N 102.1097°W
197,Waco,Texas,"134,432","124,805",+7.71%,"89.0 sq mi
230.4 km2","1,403 per sq mi
542 km−2",31.5601°N 97.1860°W
198,Charleston,South Carolina,"134,385","120,083",+11.91%,"109.0 sq mi
282.3 km2","1,102 per sq mi
425 km−2",32.8179°N 79.9589°W
199,Columbia,South Carolina,"134,309","129,272",+3.90%,"132.2 sq mi
342.4 km2","978 per sq mi
378 km−2",34.0298°N 80.8966°W
200,Denton,Texas,"133,808","113,383",+18.01%,"88.0 sq mi
227.8 km2","1,289 per sq mi
498 km−2",33.2151°N 97.1417°W
201,Carrollton,Texas,"133,351","119,097",+11.97%,"36.3 sq mi
94.0 km2","3,281 per sq mi
1,267 km−2",32.9884°N 96.8998°W
202,Surprise,Arizona,"132,677","117,517",+12.90%,"105.7 sq mi
273.9 km2","1,111 per sq mi
429 km−2",33.6706°N 112.4527°W
203,Roseville,California,"132,671","118,788",+11.69%,"36.2 sq mi
93.8 km2","3,279 per sq mi
1,266 km−2",38.7657°N 121.3032°W
204,Sterling Heights,Michigan,"132,427","129,699",+2.10%,"36.5 sq mi
94.5 km2","3,553 per sq mi
1,372 km−2",42.5812°N 83.0303°W
205,Murfreesboro,Tennessee,"131,947","108,755",+21.32%,"55.3 sq mi
143.3 km2","1,965 per sq mi
759 km−2",35.8522°N 86.4161°W
206,Gainesville,Florida,"131,591","124,354",+5.82%,"61.3 sq mi
158.8 km2","2,028 per sq mi
783 km−2",29.6788°N 82.3459°W
207,Cedar Rapids,Iowa,"131,127","126,326",+3.80%,"70.8 sq mi
183.4 km2","1,784 per sq mi
689 km−2",41.9670°N 91.6778°W
208,Visalia,California,"131,074","124,442",+5.33%,"36.2 sq mi
93.9 km2","3,433 per sq mi
1,326 km−2",36.3272°N 119.3234°W
209,Coral Springs,Florida,"130,059","121,096",+7.40%,"23.8 sq mi
61.6 km2","5,090 per sq mi
1,965 km−2",26.2708°N 80.2593°W
210,New Haven,Connecticut,"129,934","129,779",+0.12%,"18.7 sq mi
48.4 km2","6,948 per sq mi
2,683 km−2",41.3108°N 72.9250°W
211,Stamford,Connecticut,"129,113","122,643",+5.28%,"37.6 sq mi
97.5 km2","3,258 per sq mi
1,258 km−2",41.0799°N 73.5460°W
212,Thousand Oaks,California,"128,888","126,683",+1.74%,"55.0 sq mi
142.5 km2","2,302 per sq mi
889 km−2",34.1933°N 118.8742°W
213,Concord,California,"128,726","122,067",+5.46%,"30.5 sq mi
79.1 km2","3,996 per sq mi
1,543 km−2",37.9722°N 122.0016°W
214,Elizabeth,New Jersey,"128,640","124,969",+2.94%,"12.3 sq mi
31.9 km2","10,144 per sq mi
3,917 km−2",40.6663°N 74.1935°W
215,Lafayette[28],Louisiana,"127,626","120,623",+5.81%,"49.2 sq mi
127.5 km2","2,450 per sq mi
946 km−2",30.2116°N 92.0314°W
216,Kent,Washington,"127,514","92,411",+37.99%,"28.6 sq mi
74.1 km2","3,228 per sq mi
1,246 km−2",47.3853°N 122.2169°W
217,Topeka,Kansas,"126,808","127,473",−0.52%,"60.2 sq mi
155.8 km2","2,119 per sq mi
818 km−2",39.0362°N 95.6948°W
218,Simi Valley,California,"126,327","124,237",+1.68%,"41.5 sq mi
107.4 km2","2,995 per sq mi
1,156 km−2",34.2669°N 118.7485°W
219,Santa Clara,California,"125,948","116,468",+8.14%,"18.4 sq mi
47.7 km2","6,327 per sq mi
2,443 km−2",37.3646°N 121.9679°W
220,Athens[29],Georgia,"123,371","115,452",+6.86%,"116.4 sq mi
301.4 km2","992 per sq mi
383 km−2",33.9496°N 83.3701°W
221,Hartford,Connecticut,"123,243","124,775",−1.23%,"17.4 sq mi
45.0 km2","7,179 per sq mi
2,772 km−2",41.7660°N 72.6833°W
222,Victorville,California,"122,265","115,903",+5.49%,"73.2 sq mi
189.5 km2","1,584 per sq mi
612 km−2",34.5277°N 117.3536°W
223,Abilene,Texas,"122,225","117,063",+4.41%,"106.8 sq mi
276.6 km2","1,096 per sq mi
423 km−2",32.4545°N 99.7381°W
224,Norman,Oklahoma,"122,180","110,925",+10.15%,"178.8 sq mi
463.0 km2","621 per sq mi
240 km−2",35.22°N 97.44°W
225,Vallejo,California,"121,299","115,942",+4.62%,"30.7 sq mi
79.4 km2","3,780 per sq mi
1,460 km−2",38.1079°N 122.2639°W
226,Berkeley,California,"121,240","112,580",+7.69%,"10.5 sq mi
27.1 km2","10,752 per sq mi
4,152 km−2",37.8667°N 122.2991°W
227,Round Rock,Texas,"120,892","99,887",+21.03%,"34.1 sq mi
88.4 km2","2,928 per sq mi
1,131 km−2",30.5237°N 97.6674°W
228,Ann Arbor,Michigan,"120,782","113,934",+6.01%,"27.8 sq mi
72.1 km2","4,094 per sq mi
1,581 km−2",42.2756°N 83.7313°W
229,Fargo,North Dakota,"120,762","105,549",+14.41%,"48.8 sq mi
126.4 km2","2,162 per sq mi
835 km−2",46.8652°N 96.8290°W
230,Columbia,Missouri,"120,612","108,500",+11.16%,"63.1 sq mi
163.4 km2","1,720 per sq mi
664 km−2",38.9479°N 92.3261°W
231,Allentown,Pennsylvania,"120,443","118,032",+2.04%,"17.5 sq mi
45.4 km2","6,727 per sq mi
2,597 km−2",40.5940°N 75.4782°W
232,Evansville,Indiana,"119,477","117,429",+1.74%,"44.2 sq mi
114.4 km2","2,660 per sq mi
1,027 km−2",37.9877°N 87.5347°W
233,Beaumont,Texas,"118,299","118,296",0.00%,"82.8 sq mi
214.5 km2","1,429 per sq mi
552 km−2",30.0843°N 94.1458°W
234,Odessa,Texas,"117,871","99,940",+17.94%,"42.0 sq mi
108.7 km2","2,382 per sq mi
920 km−2",31.8804°N 102.3434°W
235,Wilmington,North Carolina,"117,525","106,476",+10.38%,"51.5 sq mi
133.4 km2","2,068 per sq mi
798 km−2",34.2092°N 77.8858°W
236,Arvada,Colorado,"117,453","106,433",+10.35%,"35.1 sq mi
91.0 km2","3,029 per sq mi
1,169 km−2",39.8097°N 105.1066°W
237,Independence,Missouri,"117,030","116,830",+0.17%,"77.6 sq mi
200.9 km2","1,506 per sq mi
582 km−2",39.0853°N 94.3513°W
238,Provo,Utah,"116,868","112,488",+3.89%,"41.7 sq mi
107.9 km2","2,699 per sq mi
1,042 km−2",40.2453°N 111.6448°W
239,Lansing,Michigan,"116,020","114,297",+1.51%,"36.0 sq mi
93.4 km2","3,171 per sq mi
1,224 km−2",42.7098°N 84.5562°W
240,El Monte,California,"115,807","113,475",+2.06%,"9.6 sq mi
24.8 km2","11,867 per sq mi
4,582 km−2",34.0746°N 118.0291°W
241,Springfield,Illinois,"115,715","116,250",−0.46%,"59.5 sq mi
154.1 km2","1,954 per sq mi
755 km−2",39.7639°N 89.6708°W
242,Fairfield,California,"114,756","105,321",+8.96%,"37.4 sq mi
96.8 km2","2,817 per sq mi
1,088 km−2",38.2568°N 122.0397°W
243,Clearwater,Florida,"114,361","107,685",+6.20%,"25.6 sq mi
66.2 km2","4,213 per sq mi
1,627 km−2",27.9795°N 82.7663°W
244,Peoria,Illinois,"114,265","115,007",−0.65%,"48.0 sq mi
124.3 km2","2,396 per sq mi
925 km−2",40.7523°N 89.6171°W
245,Rochester,Minnesota,"114,011","106,769",+6.78%,"54.6 sq mi
141.4 km2","1,956 per sq mi
755 km−2",44.0154°N 92.4772°W
246,Carlsbad,California,"113,952","105,328",+8.19%,"37.7 sq mi
97.7 km2","2,792 per sq mi
1,078 km−2",33.1239°N 117.2828°W
247,Westminster,Colorado,"113,875","106,114",+7.31%,"31.6 sq mi
81.7 km2","3,363 per sq mi
1,299 km−2",39.8822°N 105.0644°W
248,West Jordan,Utah,"113,699","103,712",+9.63%,"32.5 sq mi
84.1 km2","3,195 per sq mi
1,234 km−2",40.6023°N 112.0010°W
249,Pearland,Texas,"113,570","91,252",+24.46%,"47.5 sq mi
122.9 km2","1,900 per sq mi
740 km−2",29.5544°N 95.2958°W
250,Richardson,Texas,"113,347","99,223",+14.23%,"28.6 sq mi
74.0 km2","3,474 per sq mi
1,341 km−2",32.9723°N 96.7081°W
251,Downey,California,"113,267","111,772",+1.34%,"12.4 sq mi
32.1 km2","9,008 per sq mi
3,478 km−2",33.9382°N 118.1309°W
252,Miami Gardens,Florida,"113,058","107,167",+5.50%,"18.2 sq mi
47.2 km2","5,878 per sq mi
2,270 km−2",25.9489°N 80.2436°W
253,Temecula,California,"113,054","100,097",+12.94%,"30.2 sq mi
78.1 km2","3,320 per sq mi
1,282 km−2",33.5019°N 117.1246°W
254,Costa Mesa,California,"112,822","109,960",+2.60%,"15.7 sq mi
40.5 km2","7,025 per sq mi
2,712 km−2",33.6659°N 117.9123°W
255,College Station,Texas,"112,141","93,857",+19.48%,"49.6 sq mi
128.5 km2","1,978 per sq mi
764 km−2",30.6013°N 96.3144°W
256,Elgin,Illinois,"112,123","108,188",+3.64%,"37.2 sq mi
96.3 km2","2,911 per sq mi
1,124 km−2",42.0396°N 88.3217°W
257,Murrieta,California,"111,674","103,466",+7.93%,"33.6 sq mi
87.0 km2","3,081 per sq mi
1,190 km−2",33.5719°N 117.1907°W
258,Gresham,Oregon,"111,523","105,594",+5.61%,"23.2 sq mi
60.1 km2","4,551 per sq mi
1,757 km−2",45.5023°N 122.4416°W
259,High Point,North Carolina,"111,223","104,371",+6.57%,"53.8 sq mi
139.3 km2","1,940 per sq mi
749 km−2",35.9855°N 79.9902°W
260,Antioch,California,"110,898","102,372",+8.33%,"28.3 sq mi
73.4 km2","3,611 per sq mi
1,394 km−2",37.9775°N 121.7976°W
261,Inglewood,California,"110,654","109,673",+0.89%,"9.1 sq mi
23.5 km2","12,095 per sq mi
4,670 km−2",33.9561°N 118.3443°W
262,Cambridge,Massachusetts,"110,651","105,162",+5.22%,"6.4 sq mi
16.5 km2","16,469 per sq mi
6,359 km−2",42.3760°N 71.1183°W
263,Lowell,Massachusetts,"110,558","106,519",+3.79%,"13.6 sq mi
35.2 km2","7,842 per sq mi
3,028 km−2",42.6389°N 71.3221°W
264,Manchester,New Hampshire,"110,506","109,565",+0.86%,"33.1 sq mi
85.7 km2","3,310 per sq mi
1,278 km−2",42.9847°N 71.4439°W
265,Billings,Montana,"110,323","104,170",+5.91%,"43.4 sq mi
112.4 km2","2,399 per sq mi
926 km−2",45.7895°N 108.5499°W
266,Pueblo,Colorado,"110,291","106,595",+3.47%,"53.6 sq mi
138.9 km2","1,987 per sq mi
767 km−2",38.2731°N 104.6124°W
267,Palm Bay,Florida,"110,104","103,190",+6.70%,"65.7 sq mi
170.2 km2","1,571 per sq mi
606 km−2",27.9856°N 80.6626°W
268,Centennial,Colorado,"109,932","100,377",+9.52%,"28.7 sq mi
74.4 km2","3,495 per sq mi
1,349 km−2",39.5906°N 104.8691°W
269,Richmond,California,"109,813","103,701",+5.89%,"30.1 sq mi
77.9 km2","3,449 per sq mi
1,332 km−2",37.9530°N 122.3594°W
270,Ventura[30],California,"109,592","106,433",+2.97%,"21.7 sq mi
56.1 km2","4,915 per sq mi
1,898 km−2",34.2681°N 119.2550°W
271,Pompano Beach,Florida,"109,393","99,845",+9.56%,"24.0 sq mi
62.2 km2","4,160 per sq mi
1,606 km−2",26.2426°N 80.1290°W
272,North Charleston,South Carolina,"109,298","97,471",+12.13%,"76.6 sq mi
119.5 km2","1,393 per sq mi
538 km−2",32.8853°N 80.0169°W
273,Everett,Washington,"109,043","103,019",+5.85%,"33.4 sq mi
86.6 km2","3,080 per sq mi
1,189 km−2",48.0033°N 122.1742°W
274,Waterbury,Connecticut,"108,272","110,366",−1.90%,"28.5 sq mi
73.9 km2","3,870 per sq mi
1,494 km−2",41.5585°N 73.0367°W
275,West Palm Beach,Florida,"108,161","99,919",+8.25%,"55.3 sq mi
143.2 km2","1,807 per sq mi
698 km−2",26.7483°N 80.1266°W
276,Boulder,Colorado,"108,090","97,385",+10.99%,"25.7 sq mi
66.5 km2","3,947 per sq mi
1,524 km−2",40.0175°N 105.2797°W
277,West Covina,California,"107,847","106,098",+1.65%,"16.0 sq mi
41.5 km2","6,614 per sq mi
2,554 km−2",34.0559°N 117.9099°W
278,Broken Arrow,Oklahoma,"107,403","98,850",+8.65%,"61.6 sq mi
159.5 km2","1,605 per sq mi
620 km−2",36.0365°N 95.7810°W
279,Clovis,California,"106,583","95,631",+11.45%,"23.3 sq mi
60.3 km2","4,386 per sq mi
1,695 km−2",36.4931°N 119.4211°W
280,Daly City,California,"106,472","101,123",+5.29%,"7.7 sq mi
19.8 km2","13,195 per sq mi
5,095 km−2",37.7009°N 122.4650°W
281,Lakeland,Florida,"106,420","97,422",+9.24%,"74.4 sq mi
193.0 km2","1,711 per sq mi
661 km−2",28.0411°N 81.9589°W
282,Santa Maria,California,"106,290","99,553",+6.77%,"22.8 sq mi
58.9 km2","4,375 per sq mi
1,689 km−2",34.9332°N 120.4438°W
283,Norwalk,California,"106,178","105,549",+0.60%,"9.7 sq mi
25.1 km2","10,873 per sq mi
4,198 km−2",33.9069°N 118.0834°W
284,Sandy Springs,Georgia,"105,703","93,853",+12.63%,"39.0 sq mi
101.0 km2","2,613.0 per sq mi
1009 km−2",33.5615°N 84.227°W
285,Hillsboro,Oregon,"105,164","91,611",+14.79%,"24.3 sq mi
62.8 km2","3,833 per sq mi
1,480 km−2",45.5167°N 122.9833°W
286,Green Bay,Wisconsin,"105,139","104,057",+1.04%,"45.5 sq mi
117.8 km2","2,289 per sq mi
884 km−2",44.5207°N 87.9842°W
287,Tyler,Texas,"104,798","96,900",+8.15%,"54.4 sq mi
140.8 km2","1,782 per sq mi
688 km−2",32.35°N 95.30°W
288,Wichita Falls,Texas,"104,724","104,553",+0.16%,"72.1 sq mi
186.8 km2","1,449 per sq mi
560 km−2",33.9067°N 98.5259°W
289,Lewisville,Texas,"104,659","95,290",+9.83%,"42.5 sq mi
110.0 km2","2,618 per sq mi
1,011 km−2",33.0383°N 97.0061°W
290,Burbank,California,"104,447","103,340",+1.07%,"17.3 sq mi
44.9 km2","5,959 per sq mi
2,301 km−2",34.1890°N 118.3249°W
291,Greeley,Colorado,"103,990","92,889",+11.95%,"30.0 sq mi
77.7 km2","3,107 per sq mi
1,199 km−2",40.4167°N 104.7167°W
292,San Mateo,California,"103,959","97,207",+6.95%,"15.9 sq mi
41.1 km2","8,014 per sq mi
3,094 km−2",37.5542°N 122.3131°W
293,El Cajon,California,"103,768","99,478",+4.31%,"14.4 sq mi
37.4 km2","6,892 per sq mi
2,661 km−2",32.8017°N 116.9605°W
294,Jurupa Valley,California,"103,541",0,NA[31],"43.5 sq mi
112.7 km2","2,272 per sq mi
877 km−2",33.0011°N 117.4706°W
295,Rialto,California,"103,314","99,171",+4.18%,"22.4 sq mi
57.9 km2","4,437 per sq mi
1,713 km−2",34.1118°N 117.3883°W
296,Davenport,Iowa,"102,612","99,685",+2.94%,"62.9 sq mi
163.0 km2","1,584 per sq mi
611 km−2",41.5541°N 90.6040°W
297,League City,Texas,"102,010","83,560",+22.08%,"53.0 sq mi
137.3 km2","1,924 per sq mi
743 km−2",29.4997°N 95.0897°W
298,Edison[32],New Jersey,"101,996","99,967",+2.03%,"30.6 sq mi
79.4 km2","3,339.0 per sq mi
1289 km−2",40.5040°N 74.3494°W
299,Davie[33],Florida,"101,871","91,992",+10.74%,"35.7 sq mi
92.5 km2","2,637 per sq mi
1,018 km−2",26.0814°N 80.2803°W
300,Las Cruces,New Mexico,"101,759","97,618",+4.24%,"76.3 sq mi
197.6 km2","1,279 per sq mi
494 km−2",32.3197°N 106.7653°W
301,South Bend,Indiana,"101,735","101,168",+0.56%,"41.5 sq mi
107.4 km2","2,440 per sq mi
942 km−2",41.6769°N 86.2690°W
302,Vista,California,"101,659","93,834",+8.34%,"18.7 sq mi
48.4 km2","5,000 per sq mi
1,900 km−2",33.1936°N 117.2411°W
303,Woodbridge[32],New Jersey,"101,389","99,585",+1.81%,"24.5 sq mi
63.5 km2","4,290.0 per sq mi
1,656 km−2",40.5608°N 74.2926°W
304,Renton,Washington,"100,953","90,927",+11.03%,"23.5 sq mi
61.0 km2","3,933 per sq mi
1,519 km−2",47.4867°N 122.1953°W
305,Lakewood[32],New Jersey,"100,758","92,843",+8.53%,"25.0 sq mi
64.7 km2","4,030 per sq mi
1,557 km−2",40.0770°N 74.2004°W
306,San Angelo,Texas,"100,702","93,200",+8.05%,"58.2 sq mi
150.9 km2","1,640 per sq mi
633 km−2",31.45°N 100.45°W
307,Clinton[34],Michigan,"100,392","96,796",+3.72%,"28.2 sq mi
47.0 km2","3,560 per sq mi
2136 km−2",42.59°N 82.92°W
